exchange,market,action
bitpin,BTC_USDT,subscribe
bitpin,BTC_IRT,subscribe
bitpin,ETH_USDT,subscribe
bitpin,ETH_IRT,subscribe
bitpin,XRP_USDT,subscribe
bitpin,XRP_IRT,subscribe
bitpin,TRX_USDT,subscribe
bitpin,TRX_IRT,subscribe
bitpin,SOL_USDT,subscribe
bitpin,SOL_IRT,subscribe
bitpin,DOT_USDT,subscribe
bitpin,DOT_IRT,subscribe
bitpin,HYPE_USDT,disable
bitpin,HYPE_IRT,disable
bitpin,DOGE_USDT,disable
bitpin,DOGE_IRT,disable
bitpin,PEPE_USDT,disable
bitpin,PEPE_IRT,disable
bitpin,SUI_USDT,disable
bitpin,SUI_IRT,disable
bitpin,ZEC_USDT,disable
bitpin,ZEC_IRT,disable
bitpin,XLM_USDT,disable
bitpin,XLM_IRT,disable
bitpin,LINK_USDT,disable
bitpin,LINK_IRT,disable
bitpin,AVAX_USDT,disable
bitpin,AVAX_IRT,disable
bitpin,PAXG_USDT,disable
bitpin,PAXG_IRT,disable
bitpin,XAUT_USDT,disable
bitpin,XAUT_IRT,disable
bitpin,NEAR_USDT,disable
bitpin,NEAR_IRT,disable
bitpin,UNI_USDT,disable
bitpin,UNI_IRT,disable
bitpin,AAVE_USDT,disable
bitpin,AAVE_IRT,disable
bitpin,OKX_USDT,disable
bitpin,OKX_IRT,disable
bitpin,ADA_USDT,disable
bitpin,ADA_IRT,disable
bitpin,GRAM_USDT,disable
bitpin,GRAM_IRT,disable
bitpin,BNB_USDT,disable
bitpin,BNB_IRT,disable
bitpin,WLD_USDT,disable
bitpin,WLD_IRT,disable
bitpin,MNT_USDT,disable
bitpin,MNT_IRT,disable
bitpin,SHIB_USDT,disable
bitpin,SHIB_IRT,disable
bitpin,BTT_USDT,disable
bitpin,BTT_IRT,disable
nobitex,BTCUSDT,subscribe
nobitex,BTCIRT,subscribe
nobitex,ETHUSDT,subscribe
nobitex,ETHIRT,subscribe
nobitex,XRPUSDT,subscribe
nobitex,XRPIRT,subscribe
nobitex,TRXUSDT,subscribe
nobitex,TRXIRT,subscribe
nobitex,SOLUSDT,subscribe
nobitex,SOLIRT,subscribe
nobitex,DOTUSDT,subscribe
nobitex,DOTIRT,subscribe
nobitex,HYPEUSDT,disable
nobitex,HYPEIRT,disable
nobitex,DOGEUSDT,disable
nobitex,DOGEIRT,disable
nobitex,PEPEUSDT,disable
nobitex,PEPEIRT,disable
nobitex,SUIUSDT,disable
nobitex,SUIIRT,disable
nobitex,ZECUSDT,disable
nobitex,ZECIRT,disable
nobitex,XLMUSDT,disable
nobitex,XLMIRT,disable
nobitex,LINKUSDT,disable
nobitex,LINKIRT,disable
nobitex,AVAXUSDT,disable
nobitex,AVAXIRT,disable
nobitex,PAXGUSDT,disable
nobitex,PAXGIRT,disable
nobitex,XAUTUSDT,disable
nobitex,XAUTIRT,disable
nobitex,NEARUSDT,disable
nobitex,NEARIRT,disable
nobitex,UNIUSDT,disable
nobitex,UNIIRT,disable
nobitex,AAVEUSDT,disable
nobitex,AAVEIRT,disable
nobitex,OKXUSDT,disable
nobitex,OKXIRT,disable
nobitex,ADAUSDT,disable
nobitex,ADAIRT,disable
nobitex,GRAMUSDT,disable
nobitex,GRAMIRT,disable
nobitex,BNBUSDT,disable
nobitex,BNBIRT,disable
nobitex,WLDUSDT,disable
nobitex,WLDIRT,disable
nobitex,MNTUSDT,disable
nobitex,MNTIRT,disable
nobitex,SHIBUSDT,disable
nobitex,SHIBIRT,disable
nobitex,BTTUSDT,disable
nobitex,BTTIRT,disable
wallex,BTCUSDT,subscribe
wallex,BTCTMN,subscribe
wallex,ETHUSDT,subscribe
wallex,ETHTMN,subscribe
wallex,XRPUSDT,subscribe
wallex,XRPTMN,subscribe
wallex,TRXUSDT,subscribe
wallex,TRXTMN,subscribe
wallex,SOLUSDT,subscribe
wallex,SOLTMN,subscribe
wallex,DOTUSDT,subscribe
wallex,DOTTMN,subscribe
wallex,HYPEUSDT,disable
wallex,HYPETMN,disable
wallex,DOGEUSDT,disable
wallex,DOGETMN,disable
wallex,PEPEUSDT,disable
wallex,PEPETMN,disable
wallex,SUIUSDT,disable
wallex,SUITMN,disable
wallex,ZECUSDT,disable
wallex,ZECTMN,disable
wallex,XLMUSDT,disable
